statement;Drop;hash;behavior;everyday;figure_of_speech;judgment;opinion;reasoning;statement_id;i_agree;i_agree_probability;others_agree;others_agree_probability;statement_r;awareness;consensus;commonsensicality;nlp_score
Dreams are worth chasing.;;e31879bcdb;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;476;yes;0.9999967112526978;yes;0.9999910603127814;Dreams are worth chasing.;0.9999943490600836;0.9999868450540548;0.9999905970500303;Dreams are worth chasing.
What goes around comes around;;d42e5be4cf;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;666;yes;0.9999987901352424;yes;0.9999994956528014;What goes around comes around;0.999999294482441;0.9999951605468247;0.9999972275124966;What goes around comes around
Discrimination is unjust.;;6cb2655725;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;1019;yes;0.9999994956531983;yes;0.9999998724809407;Discrimination is unjust.;0.9999996231722577;0.9999979826138108;0.9999988028926978;Discrimination is unjust.
Kind words have the power to build bridges.;;898b3cdd4a;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;292;yes;0.9999998144610487;yes;0.9999999748900065;Kind words have the power to build bridges.;0.9999998395710422;0.9999992578443324;0.999999548707645;Kind words have the power to build bridges.
Trust is hard-earned.;;3044be34c2;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;1694;yes;0.9999999586006177;yes;0.999999872481054;Trust is hard-earned.;0.9999999138804363;0.9999998344024779;0.9999998741414563;Trust is hard-earned.
Art can be a form of self-expression.;;0aae6c5c44;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;2063;yes;0.9999999999999999;yes;1.0;Art can be a form of self-expression.;0.9999999999999999;0.9999999999999996;0.9999999999999997;Art can be a form of self-expression.
Faith in friends will often create untaped capabilities neither could foresee.;;923b90e65a;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;299;no;0.5621762957963558;no;0.9984988186978818;Faith in friends will often create untap capabilities either could foresee.;0.5636774770984739;0.015463567035823744;0.0933620075496251;Faith in friends will often create untap capabilities either could foresee.
Opportunity knocks but once.;;23791da9b6;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;443;no;0.9046504852001982;no;0.7772998128596844;Opportunity knocks but once.;0.8726493276594862;0.6549680606910233;0.7560141783065044;Opportunity knocks but once.
Ignorance is bliss.;;461753f4a1;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;1285;no;0.9669140470280102;no;0.9706877631667715;Ignorance is bliss;0.9962262838612387;0.8720349092482997;0.9320644275143786;Ignorance is bliss
The boy who cried wolf.;X;ad49e5bcd3;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;976;no;0.9959299744143577;no;0.9999038977232061;The boy who cried wolf.;0.9960260766911516;0.983786158090502;0.9898871993040135;The boy who cried wolf.
Judge not, lest ye be judged.;;d133089264;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;416;yes;0.9975273787747431;yes;0.9975273791998113;Judge not, lest ye be judged.;0.9999999995749318;0.9901339705218666;0.9950547573380031;Judge not, lest ye be judged.
Uneasy lies the head that wears the crown.;;d9b146b902;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;514;yes;0.9999869928709059;yes;0.9971990735978762;Uneasy lies the head that wears the crown.;0.9972120807269703;0.9999479721603651;0.9985790894750162;Uneasy lies the head that wears the crown.
Good fences make good neighbors.;;9a76b40bc6;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;154;yes;0.999933947902488;yes;0.9997040431491321;Good fences make good neighbors.;0.9997700952466441;0.9997358090614704;0.9997529520070781;Good fences make good neighbors.
Imitation is the sincerest form of flattery.;;61a47e8f8b;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;303;yes;0.9999785550619686;yes;0.9999785550615314;Imitation is the sincerest form of flattery.;0.9999999999995628;0.9999142220874161;0.9999571101237187;Imitation is the sincerest form of flattery.
Diligence often opportunity often determinesucceed.;X;a3f5d06c70;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;131;no;0.99999671125578;no;0.9999832986107224;Diligence often opportunity often determinesucceed.;0.9999865873549424;0.9999868450663836;0.9999867162106547;Diligence often opportunity often determinesucceed.
Remember sorrow won't reference smiles gone miss.;X;4068127b94;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;787;no;0.9999984465027316;no;0.999998629043572;Remember sorrow won't reference smiles gone miss.;0.9999998174591597;0.9999937860205799;0.9999968017353225;Remember sorrow won't reference smiles gone miss.
A fool and his money are soon parted.;;9747728ff5;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;207;yes;0.9999991684720986;yes;0.9999996072139843;A fool and his money are soon parted.;0.9999995612581143;0.9999966738911601;0.999998117573595;A fool and his money are soon parted.
Begging hands and empty pockets warn of a month of riches.;;1c16ee276a;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;888;no;0.9999996072140211;no;0.999999814460847;Begging hands and empty pockets warn of a month of riches.;0.9999997927531742;0.9999984288567018;0.9999991108047055;Begging hands and empty pockets warn of a month of riches.
Ignored warnings open doors to trouble.;;ca5ce60349;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;415;yes;0.999999887464823;yes;0.9999999468421421;Ignored warnings open doors to trouble.;0.9999999406226809;0.9999995498593428;0.9999997452409928;Ignored warnings open doors to trouble.
Respecting others' opinions fosters harmony.;;dfc7c289a2;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;1857;yes;0.9999999715466501;yes;0.9999998362623934;Respecting others' opinions fosters harmony.;0.9999998647157433;0.9999998861866036;0.9999998754511734;Respecting others' opinions fosters harmony.
Learning from mistakes leads to growth.;;a258346430;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;1075;yes;0.9999999918479786;yes;0.9999999961492578;Learning from mistakes leads to growth.;0.9999999956987208;0.9999999673919147;0.9999999815453176;Learning from mistakes leads to growth.
She has a sharp tongue.;X;ae0101e899;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1548;yes;0.6791642995610064;yes;0.679178716129445;She has a sharp tongue.;0.9999855834315614;0.12839938494874426;0.3583260161783173;She has a sharp tongue.
Santa Claus brings presents to children on Christmas.;;020cc6760b;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;570;no;0.9940889334335943;yes;0.9740426425910946;Santa Claus brings presents to children on Christmas.;0.9799537091575004;0.9764954965661871;0.9782230746796101;Santa Claus brings presents to children on Christmas.
Classical music helps with concentration.;;b8c9bf7b73;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1458;yes;0.9989677699526175;yes;0.9991959147238861;Classical music helps with concentration.;0.9997718552287314;0.9958753418059528;0.9978216965239253;Classical music helps with concentration.
Stand in line to buy tickets.;X;0dd622fdf0;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1468;yes;0.9999974387205772;yes;0.9999991684720672;Stand in line to buy tickets.;0.9999982702485101;0.9999897549085495;0.9999940125694659;Stand in line to buy tickets.
It's common to send holiday cards around December.;;7bc612bf4e;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1327;yes;0.9999996940979003;yes;0.9999994285002072;It's common to send holiday cards around December.;0.9999997344023068;0.9999987763919757;0.9999992553970265;It's common to send holiday cards around December.
Regular savings lead to financial stability.;;e9d5227e4a;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1060;yes;0.9999997300423825;yes;0.9999999397642535;Regular savings lead to financial stability.;0.999999790278129;0.9999989201698216;0.9999993552238807;Regular savings lead to financial stability.
Graduating college increases job prospects.;;6c06ff93f7;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1094;yes;0.9999999397643733;yes;0.9999994285002138;Graduating college increases job prospects.;0.9999994887358405;0.9999997590575077;0.999999623896665;Graduating college increases job prospects.
Crying helps to release emotions.;;5369464357;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1602;yes;0.9999998724810518;yes;0.9999997300424005;Crying helps to release emotions.;0.9999998575613487;0.9999994899242723;0.9999996737427936;Crying helps to release emotions.
Governments create laws.;;e1c50fde19;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1907;yes;0.9999998724810535;yes;0.9999999397642565;Governments create laws.;0.999999932716797;0.999999489924279;0.9999997113205135;Governments create laws.
Students study for exams.;;a8b0b3ad3e;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1500;yes;0.9999999006880436;yes;0.9999999317439627;Students study for exams.;0.9999999689440808;0.9999996027522137;0.9999997858481304;Students study for exams.
Tea is enjoyed by many people.;;a009d3ecc1;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1040;yes;0.9999999586006172;yes;0.9999998874648198;Tea is enjoyed by many people.;0.9999999288642026;0.9999998344024756;0.999999881633338;Tea is enjoyed by many people.
Cheating is frowned upon.;;95bba552d4;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1481;yes;0.9999999827421698;yes;0.9999998724810557;Cheating is frowned upon.;0.9999998897388859;0.9999999309686806;0.999999910353783;Cheating is frowned upon.
Wait for your turn when in a queue.;;ee5fe79630;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1585;yes;0.9999999865595891;yes;0.9999999715466503;Wait for your turn in a queue.;0.9999999849870612;0.9999999462383572;0.999999965612709;Wait for your turn in a queue.
Being organized helps efficiency.;;794dbf328c;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1674;yes;0.9999999981810382;yes;0.999999939764254;Being organized helps efficiency.;0.9999999415832158;0.999999992724153;0.9999999671536841;Being organized helps efficiency.
Religious beliefs vary among cultures.;;cc07e2debf;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;1903;yes;0.9999999950555493;yes;0.9999999973534262;Religious beliefs vary among cultures.;0.9999999977021231;0.9999999802221972;0.99999998896216;Religious beliefs vary among cultures.
The more the merrier.;;20aef632f3;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;160;yes;0.5312093950101435;yes;0.9914225255425153;The more the merrier.;0.5397868694676282;0.0038961053475966567;0.04585920309703697;The more the merrier.
Relationships are about compatibility and intricate aims.;;3cf4961c94;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;786;no;0.9399133213859278;no;0.9968273181483407;Relationships are about compatibility and intricate aims.;0.9430860032375871;0.7740949213311943;0.8544226620851945;Relationships are about compatibility and intricate aims.
Trust your instincts.;;366c7968ad;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;397;yes;0.9953904330140138;yes;0.9999832985823803;Trust your instincts.;0.9954071344316334;0.9816467244872482;0.9885029858559108;Trust your instincts.
Reading makes you smarter.;;a34bad73fb;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1726;yes;0.9997388098500438;yes;0.9999990577553588;Reading makes you smarter.;0.999739752094685;0.998955512281353;0.9993475552588194;Reading makes you smarter.
Prioritizing family is essential.;;43e65261ce;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1693;yes;0.9999687981029088;yes;0.9999997300424086;Prioritizing family is essential.;0.9999690680605002;0.9998751963058689;0.9999221310816104;Prioritizing family is essential.
Social media has a negative impact on mental health.;;6725e2f2cb;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1447;yes;0.9999945777888026;yes;0.999998932298034;I think social media has a negative impact on mental health.;0.9999956454907686;0.999978311272812;0.9999869783442304;I think social media has a negative impact on mental health.
The truth hurts.;;2d7f397b78;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;819;yes;0.9999980052722921;yes;0.9999996533675994;The truth hurts.;0.9999983519046927;0.9999920211050841;0.9999951864998785;The truth hurts.
Voting is a civic duty.;;aed59d4d01;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1954;yes;0.9999990577563457;yes;0.9999992661798854;Voting is a civic duty.;0.9999997915764602;0.999996231028934;0.9999980113011124;Voting is a civic duty.
Kindness matters deeply.;;e5b13b192d;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;99;yes;0.99999949565281;yes;0.999999946842143;Kindness matters deeply.;0.999999548810667;0.9999979826122575;0.9999987657111556;Kindness matters deeply.
People often nostalgic about their childhood.;;1c46c998c9;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1348;yes;0.9999998362624367;yes;0.9999999123575097;People often nostalgic about their childhood.;0.999999923904927;0.9999993450498541;0.9999996344773486;People often nostalgic about their childhood.
Music can improve mood.;;9a5955dd29;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1811;yes;0.9999999226557789;yes;0.9999999865595889;I feel that music can improve mood.;0.99999993609619;0.9999996906231394;0.9999998133596572;I feel that music can improve mood.
Dogs are loyal pets.;;af1b9b95c1;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1838;yes;0.9999999397642624;yes;0.9999999468421448;Dogs are loyal pets.;0.9999999929221176;0.9999997590570641;0.999999875989584;Dogs are loyal pets.
Showing gratitude is good manners.;;32e16a3505;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1032;yes;0.9999999677581309;yes;0.9999999530883554;Showing gratitude is good manners.;0.9999999853302245;0.9999998710325279;0.9999999281813745;Showing gratitude is good manners.
Cheating is dishonest.;;2e936f468c;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1633;yes;0.9999999907625498;yes;0.9999999804443175;Cheating is dishonest.;0.9999999896817677;0.9999999630501993;0.9999999763659834;Cheating is dishonest.
Children learn by example.;;bc21e26993;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1742;yes;0.9999999973534263;yes;0.9999999956365377;Children learn by example.;0.9999999982831115;0.999999989413705;0.9999999938484082;Children learn by example.
Hunger is the best sauce.;;c86887aa7d;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1089;yes;0.8175745461022089;no;0.6513546501399579;Hunger is the best sauce.;0.8337801040377489;0.40341436932809605;0.5799645461825256;Hunger is the best sauce.
Friends should loyalty.;X;b4d4b21a6b;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;119;yes;0.9953904364559314;yes;0.9991959168845445;Friends should loyalty.;0.9961945195713869;0.9816467381279927;0.9888938773590596;Friends should loyalty.
Courtesy costs nothing but buys everything.;;5c49c1bff3;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;771;yes;0.9995121432632117;yes;0.9990889497854152;Courtesy costs nothing but buys everything.;0.9995768065222035;0.9980495250696293;0.9988128738758336;Courtesy costs nothing but buys everything.
A positive attitude attracts positive outcomes.;;90b585d92e;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;376;yes;0.9999832985942496;yes;0.9999970976909643;A positive attitude attracts positive outcomes.;0.9999862009032853;0.9999331954927463;0.9999596978468049;A positive attitude attracts positive outcomes.
A poor workman blames his tools.;;a8abb892ee;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;899;yes;0.9999945777836834;yes;0.9999977396773716;A poor workman blames his tools.;0.9999968381063118;0.9999783112523353;0.9999875746364174;A poor workman blames his tools.
Beggars can't be choosers.;;59ad9d58bb;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;158;yes;0.9999974387188323;yes;0.9999997617632492;Beggars can't be choosers.;0.9999976769555831;0.9999897549015698;0.9999937159207315;Beggars can't be choosers.
Kapital kidded kiddo kin wollen'd kidding เลวีน;X;11dea8c874;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;872;no;0.9999997300421544;no;0.9999996072140077;Kapital kidded kiddo kin wollen'd kidding เลวีน;0.9999998771718533;0.999998920168909;0.9999993986702668;Kapital kidded kiddo kin wollen'd kidding เลวีน
Helping others is a noble act.;;887de56a5b;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1706;yes;0.9999999006880538;yes;0.999999855502111;Helping others is a noble act.;0.9999999548140572;0.9999996027522545;0.9999997787831404;Helping others is a noble act.
Perseverance pays off.;;5bbebcd217;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;739;yes;0.9999999226557718;yes;0.9999999847700201;Perseverance pays off.;0.9999999378857517;0.999999690623111;0.9999998142544237;Perseverance pays off.
Kindness begets kindness.;;4b8f1f1f78;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1123;yes;0.9999999748900071;yes;0.9999999006880489;Kindness begets kindness.;0.9999999257980418;0.9999998995600311;0.9999999126790363;Kindness begets kindness.
Friendship enriches life.;;2a4adb7e6a;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1746;yes;0.9999999677581274;yes;0.9999999928058667;Friendship enriches life.;0.9999999749522607;0.9999998710325136;0.9999999229923858;Friendship enriches life.
Actions should match words.;;b1b31e53be;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1590;yes;0.9999999748900066;yes;0.9999999586006207;Actions should match words.;0.9999999837106142;0.9999998995600289;0.9999999416353207;Actions should match words.
Pets often bring joy to their owners.;;5b3406147e;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1908;yes;0.9999999936511992;yes;0.999999912357659;Pets often bring joy to their owners.;0.9999999187064598;0.9999999746047968;0.999999946655628;Pets often bring joy to their owners.
A smile often indicates friendliness.;;028c784ae0;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1889;yes;0.9999999865595878;yes;0.9999999634651725;A smile often indicates friendliness.;0.9999999769055847;0.9999999462383519;0.9999999615719681;A smile often indicates friendliness.
Compliments can boost a person's confidence.;;40288472cd;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1389;yes;0.99999999902638;yes;1.0;Compliments can boost a person's confidence.;0.99999999902638;0.9999999961055202;0.99999999756595;Compliments can boost a person's confidence.