statement,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,statement_id,i_agree,i_agree_probability,others_agree,others_agree_probability,statement_r,awareness,consensus,commonsensicality,nlp_score
"When life gives you lemons, make lemonade.",e0c6729677,True,False,False,True,True,False,789,yes,0.9999921107458494,yes,0.9999977396772398,"When life gives you lemons, make lemonade.",0.9999943710686096,0.9999684432323588,0.999981407066451,"When life gives you lemons, make lemonade."
It takes a village to raise a child.,5d206c5029,True,False,False,True,True,False,233,yes,0.9999962733614209,yes,0.9999974387188835,It takes a village to raise a child.,0.9999988346425375,0.9999850935012351,0.9999919640482837,It takes a village to raise a child.
What goes around comes around,d42e5be4cf,True,False,False,True,True,False,666,yes,0.9999987901352424,yes,0.9999994956528014,What goes around comes around,0.999999294482441,0.9999951605468247,0.9999972275124966,What goes around comes around
Discrimination is unjust.,6cb2655725,True,False,False,True,True,False,1019,yes,0.9999994956531983,yes,0.9999998724809407,Discrimination is unjust.,0.9999996231722577,0.9999979826138108,0.9999988028926978,Discrimination is unjust.
Kind words have the power to build bridges.,898b3cdd4a,True,False,False,True,True,False,292,yes,0.9999998144610487,yes,0.9999999748900065,Kind words have the power to build bridges.,0.9999998395710422,0.9999992578443324,0.999999548707645,Kind words have the power to build bridges.
Trust is hard-earned.,3044be34c2,True,False,False,True,True,False,1694,yes,0.9999999586006177,yes,0.999999872481054,Trust is hard-earned.,0.9999999138804363,0.9999998344024779,0.9999998741414563,Trust is hard-earned.
Art can be a form of self-expression.,0aae6c5c44,True,False,False,True,True,False,2063,yes,0.9999999999999999,yes,1.0,Art can be a form of self-expression.,0.9999999999999999,0.9999999999999996,0.9999999999999997,Art can be a form of self-expression.
Faith in friends will often create untap capabilities either could foresee.,923b90e65a,True,False,False,True,True,True,299,no,0.5621762957963558,no,0.9984988186978818,Faith in friends will often create untap capabilities either could foresee.,0.5636774770984739,0.015463567035823744,0.0933620075496251,Faith in friends will often create untap capabilities either could foresee.
Wise men think alike.,98b276b50b,True,False,False,True,True,True,1619,no,0.9579122392578417,no,0.5621763790138858,Wise men think alike.,0.6042641397560441,0.8387344754485236,0.7119109258120984,Wise men think alike.
Virtue is its own reward.,a06d3b0eac,True,False,False,True,True,True,308,yes,0.9525741381196768,no,0.9669140134842921,Virtue is its own reward.,0.9856601246353848,0.8192934019790733,0.8986349852457569,Virtue is its own reward.
No news is good news,a575e616d8,True,False,False,True,True,True,696,yes,0.9875683598615869,yes,0.9999930377506696,No news is good news,0.9875753221109173,0.9508916221524715,0.9690599052895541,No news is good news
"Judge not, lest ye be judged.",d133089264,True,False,False,True,True,True,416,yes,0.9975273787747431,yes,0.9975273791998113,"Judge not, lest ye be judged.",0.9999999995749318,0.9901339705218666,0.9950547573380031,"Judge not, lest ye be judged."
Uneasy lies the head that wears the crown.,d9b146b902,True,False,False,True,True,True,514,yes,0.9999869928709059,yes,0.9971990735978762,Uneasy lies the head that wears the crown.,0.9972120807269703,0.9999479721603651,0.9985790894750162,Uneasy lies the head that wears the crown.
Good fences make good neighbors.,9a76b40bc6,True,False,False,True,True,True,154,yes,0.999933947902488,yes,0.9997040431491321,Good fences make good neighbors.,0.9997700952466441,0.9997358090614704,0.9997529520070781,Good fences make good neighbors.
Imitation is the sincerest form of flattery.,61a47e8f8b,True,False,False,True,True,True,303,yes,0.9999785550619686,yes,0.9999785550615314,Imitation is the sincerest form of flattery.,0.9999999999995628,0.9999142220874161,0.9999571101237187,Imitation is the sincerest form of flattery.
"Power corrupts, and absolute power corrupts absolutely.",d946690b68,True,False,False,True,True,True,729,yes,0.9999910603130149,yes,0.9999994284997361,"Power corrupts, and absolute power corrupts absolutely.",0.9999916318132788,0.9999642415717316,0.9999779365987249,"Power corrupts, and absolute power corrupts absolutely."
Desperate times call for desperate measures.,9f50de2c9c,True,False,False,True,True,True,722,yes,0.9999987901352064,yes,0.9999999943972032,Desperate times call for desperate measures.,0.9999987957380032,0.9999951605466808,0.9999969781406902,Desperate times call for desperate measures.
"Nothing ventured, nothing gained",6c9205bc1b,True,False,False,True,True,True,1291,yes,0.9999998362622757,yes,0.9999970976909407,"Nothing ventured, nothing gained",0.999997261428665,0.9999993450492102,0.9999983032383949,"Nothing ventured, nothing gained"
Winning isn’t everything but maintaining pointed accumulation it however standalone function.,8a7d178b28,True,False,False,True,True,True,243,no,0.9999996533675988,no,0.999999922655776,Winning isn’t everything but maintaining pointed accumulation it however standalone function.,0.9999997307118228,0.9999986134708757,0.9999991720911933,Winning isn’t everything but maintaining pointed accumulation it however standalone function.
An ounce of prevention is worth a pound of cure,36d7996a65,True,False,False,True,True,True,1279,yes,0.9999999006880564,yes,0.9999997897568038,An ounce of prevention is worth a pound of cure,0.9999998890687474,0.9999996027522652,0.999999745910496,An ounce of prevention is worth a pound of cure
Actions affect future.,563fe9e929,True,False,False,True,True,True,89,yes,0.9999999468421421,yes,0.9999999715466491,Actions affect future.,0.999999975295493,0.9999997873685798,0.999999881332032,Actions affect future.
Learning from mistakes leads to growth.,a258346430,True,False,False,True,True,True,1075,yes,0.9999999918479786,yes,0.9999999961492578,Learning from mistakes leads to growth.,0.9999999956987208,0.9999999673919147,0.9999999815453176,Learning from mistakes leads to growth.
To make ends meet.,8628fef9a3,True,True,False,True,False,False,543,no,0.7310799897019181,yes,0.8670351286572668,To make ends meet.,0.8640448610446513,0.21359184656255437,0.42959624926599715,To make ends meet.
Santa Claus brings presents to children on Christmas.,020cc6760b,True,True,False,True,False,False,570,no,0.9940889334335943,yes,0.9740426425910946,Santa Claus brings presents to children on Christmas.,0.9799537091575004,0.9764954965661871,0.9782230746796101,Santa Claus brings presents to children on Christmas.
Classical music helps with concentration.,b8c9bf7b73,True,True,False,True,False,False,1458,yes,0.9989677699526175,yes,0.9991959147238861,Classical music helps with concentration.,0.9997718552287314,0.9958753418059528,0.9978216965239253,Classical music helps with concentration.
Shaking hands is a common greeting.,db6ea9e0e0,True,True,False,True,False,False,1493,yes,0.9999989322979713,yes,0.999999761763241,Shaking hands is a common greeting.,0.9999991705347303,0.9999957291964452,0.9999974498641074,Shaking hands is a common greeting.
Cheating on partners is considered taboo.,6a083af084,True,True,False,True,False,False,1490,yes,0.9999997617632631,yes,0.9999992661796879,Cheating on partners is considered taboo.,0.9999995044164248,0.9999990470532795,0.999999275734826,Cheating on partners is considered taboo.
People celebrate birthdays.,303615f33d,True,True,False,True,False,False,1518,yes,0.9999997300423883,yes,0.9999996533676003,People celebrate birthdays.,0.999999923325212,0.9999989201698447,0.9999994217474026,People celebrate birthdays.
Adults work to earn a living.,3a85d85986,True,True,False,True,False,False,1878,yes,0.9999999006880474,yes,0.9999995549155152,Adults work to earn a living.,0.9999996542274677,0.9999996027522292,0.9999996284898481,Adults work to earn a living.
Breaking the law is generally punishable.,58b7e42be0,True,True,False,True,False,False,1395,yes,0.9999998555021149,yes,0.9999999226557694,Breaking the law is generally punishable.,0.9999999328463455,0.9999994220085431,0.9999996774274117,Breaking the law is generally punishable.
Governments create laws.,e1c50fde19,True,True,False,True,False,False,1907,yes,0.9999998724810535,yes,0.9999999397642565,Governments create laws.,0.999999932716797,0.999999489924279,0.9999997113205135,Governments create laws.
Students study for exams.,a8b0b3ad3e,True,True,False,True,False,False,1500,yes,0.9999999006880436,yes,0.9999999317439627,Students study for exams.,0.9999999689440808,0.9999996027522137,0.9999997858481304,Students study for exams.
Tea is enjoyed by many people.,a009d3ecc1,True,True,False,True,False,False,1040,yes,0.9999999586006172,yes,0.9999998874648198,Tea is enjoyed by many people.,0.9999999288642026,0.9999998344024756,0.999999881633338,Tea is enjoyed by many people.
Cheating is frowned upon.,95bba552d4,True,True,False,True,False,False,1481,yes,0.9999999827421698,yes,0.9999998724810557,Cheating is frowned upon.,0.9999998897388859,0.9999999309686806,0.999999910353783,Cheating is frowned upon.
Wait for your turn in a queue.,ee5fe79630,True,True,False,True,False,False,1585,yes,0.9999999865595891,yes,0.9999999715466503,Wait for your turn in a queue.,0.9999999849870612,0.9999999462383572,0.999999965612709,Wait for your turn in a queue.
Being organized helps efficiency.,794dbf328c,True,True,False,True,False,False,1674,yes,0.9999999981810382,yes,0.999999939764254,Being organized helps efficiency.,0.9999999415832158,0.999999992724153,0.9999999671536841,Being organized helps efficiency.
Religious beliefs vary among cultures.,cc07e2debf,True,True,False,True,False,False,1903,yes,0.9999999950555493,yes,0.9999999973534262,Religious beliefs vary among cultures.,0.9999999977021231,0.9999999802221972,0.99999998896216,Religious beliefs vary among cultures.
The more the merrier.,20aef632f3,True,True,False,True,True,False,160,yes,0.5312093950101435,yes,0.9914225255425153,The more the merrier.,0.5397868694676282,0.0038961053475966567,0.04585920309703697,The more the merrier.
Relationships are about compatibility and intricate aims.,3cf4961c94,True,True,False,True,True,False,786,no,0.9399133213859278,no,0.9968273181483407,Relationships are about compatibility and intricate aims.,0.9430860032375871,0.7740949213311943,0.8544226620851945,Relationships are about compatibility and intricate aims.
Trust your instincts.,366c7968ad,True,True,False,True,True,False,397,yes,0.9953904330140138,yes,0.9999832985823803,Trust your instincts.,0.9954071344316334,0.9816467244872482,0.9885029858559108,Trust your instincts.
Reading makes you smarter.,a34bad73fb,True,True,False,True,True,False,1726,yes,0.9997388098500438,yes,0.9999990577553588,Reading makes you smarter.,0.999739752094685,0.998955512281353,0.9993475552588194,Reading makes you smarter.
Prioritizing family is essential.,43e65261ce,True,True,False,True,True,False,1693,yes,0.9999687981029088,yes,0.9999997300424086,Prioritizing family is essential.,0.9999690680605002,0.9998751963058689,0.9999221310816104,Prioritizing family is essential.
I think social media has a negative impact on mental health.,6725e2f2cb,True,True,False,True,True,False,1447,yes,0.9999945777888026,yes,0.999998932298034,I think social media has a negative impact on mental health.,0.9999956454907686,0.999978311272812,0.9999869783442304,I think social media has a negative impact on mental health.
The truth hurts.,2d7f397b78,True,True,False,True,True,False,819,yes,0.9999980052722921,yes,0.9999996533675994,The truth hurts.,0.9999983519046927,0.9999920211050841,0.9999951864998785,The truth hurts.
Voting is a civic duty.,aed59d4d01,True,True,False,True,True,False,1954,yes,0.9999990577563457,yes,0.9999992661798854,Voting is a civic duty.,0.9999997915764602,0.999996231028934,0.9999980113011124,Voting is a civic duty.
Kindness matters deeply.,e5b13b192d,True,True,False,True,True,False,99,yes,0.99999949565281,yes,0.999999946842143,Kindness matters deeply.,0.999999548810667,0.9999979826122575,0.9999987657111556,Kindness matters deeply.
People often nostalgic about their childhood.,1c46c998c9,True,True,False,True,True,False,1348,yes,0.9999998362624367,yes,0.9999999123575097,People often nostalgic about their childhood.,0.999999923904927,0.9999993450498541,0.9999996344773486,People often nostalgic about their childhood.
I feel that music can improve mood.,9a5955dd29,True,True,False,True,True,False,1811,yes,0.9999999226557789,yes,0.9999999865595889,I feel that music can improve mood.,0.99999993609619,0.9999996906231394,0.9999998133596572,I feel that music can improve mood.
Dogs are loyal pets.,af1b9b95c1,True,True,False,True,True,False,1838,yes,0.9999999397642624,yes,0.9999999468421448,Dogs are loyal pets.,0.9999999929221176,0.9999997590570641,0.999999875989584,Dogs are loyal pets.
Showing gratitude is good manners.,32e16a3505,True,True,False,True,True,False,1032,yes,0.9999999677581309,yes,0.9999999530883554,Showing gratitude is good manners.,0.9999999853302245,0.9999998710325279,0.9999999281813745,Showing gratitude is good manners.
Cheating is dishonest.,2e936f468c,True,True,False,True,True,False,1633,yes,0.9999999907625498,yes,0.9999999804443175,Cheating is dishonest.,0.9999999896817677,0.9999999630501993,0.9999999763659834,Cheating is dishonest.
Children learn by example.,bc21e26993,True,True,False,True,True,False,1742,yes,0.9999999973534263,yes,0.9999999956365377,Children learn by example.,0.9999999982831115,0.999999989413705,0.9999999938484082,Children learn by example.
Hunger is the best sauce.,c86887aa7d,True,True,False,True,True,True,1089,yes,0.8175745461022089,no,0.6513546501399579,Hunger is the best sauce.,0.8337801040377489,0.40341436932809605,0.5799645461825256,Hunger is the best sauce.
Go big or go home.,9ddc6827ab,True,True,False,True,True,True,395,no,0.9971990753248202,no,0.9914225126622579,Go big or go home.,0.9942234373374377,0.988827682015425,0.991521889293316,Go big or go home.
Kindness costs nothing.,70f62bddb1,True,True,False,True,True,True,1754,yes,0.9999151890483904,yes,0.9999996940979609,Kindness costs nothing.,0.9999154949504295,0.9996607849651515,0.9997881318464249,Kindness costs nothing.
A positive attitude attracts positive outcomes.,90b585d92e,True,True,False,True,True,True,376,yes,0.9999832985942496,yes,0.9999970976909643,A positive attitude attracts positive outcomes.,0.9999862009032853,0.9999331954927463,0.9999596978468049,A positive attitude attracts positive outcomes.
A poor workman blames his tools.,a8abb892ee,True,True,False,True,True,True,899,yes,0.9999945777836834,yes,0.9999977396773716,A poor workman blames his tools.,0.9999968381063118,0.9999783112523353,0.9999875746364174,A poor workman blames his tools.
Apologizing shows maturity.,a4224ec789,True,True,False,True,True,True,1106,yes,0.9999991684728241,yes,0.9999982396585142,Apologizing shows maturity.,0.9999990711856901,0.9999966738940622,0.9999978725391577,Apologizing shows maturity.
Acts of kindness are valued.,3383efc67e,True,True,False,True,True,True,1513,yes,0.9999997617632338,yes,0.9999998874648051,Acts of kindness are valued.,0.9999998742984287,0.9999990470531622,0.99999946067571,Acts of kindness are valued.
Offering help is kind.,bb18b54cee,True,True,False,True,True,True,1523,yes,0.9999999123578451,yes,0.9999999827421711,Offering help is kind.,0.9999999296156741,0.9999996494314113,0.9999997895235329,Offering help is kind.
Standing in line patiently shows respect for others.,fe6b33dcfe,True,True,False,True,True,True,1771,yes,0.9999999586006169,yes,0.9999998555021087,Standing in line patiently shows respect for others.,0.9999998969014918,0.9999998344024743,0.9999998656519826,Standing in line patiently shows respect for others.
Kindness begets kindness.,4b8f1f1f78,True,True,False,True,True,True,1123,yes,0.9999999748900071,yes,0.9999999006880489,Kindness begets kindness.,0.9999999257980418,0.9999998995600311,0.9999999126790363,Kindness begets kindness.
Maintaining eye contact shows confidence.,9c4b49e6bf,True,True,False,True,True,True,1156,yes,0.9999999677581283,yes,0.9999999530883562,Maintaining eye contact shows confidence.,0.9999999853302279,0.9999998710325172,0.999999928181371,Maintaining eye contact shows confidence.
Honesty breeds trust.,fe8892fbb7,True,True,False,True,True,True,747,yes,0.9999999715466497,yes,0.9999999715466518,Honesty breeds trust.,0.9999999999999979,0.9999998861866018,0.9999999430932982,Honesty breeds trust.
Pets often bring joy to their owners.,5b3406147e,True,True,False,True,True,True,1908,yes,0.9999999936511992,yes,0.999999912357659,Pets often bring joy to their owners.,0.9999999187064598,0.9999999746047968,0.999999946655628,Pets often bring joy to their owners.
A smile often indicates friendliness.,028c784ae0,True,True,False,True,True,True,1889,yes,0.9999999865595878,yes,0.9999999634651725,A smile often indicates friendliness.,0.9999999769055847,0.9999999462383519,0.9999999615719681,A smile often indicates friendliness.
Compliments can boost a person's confidence.,40288472cd,True,True,False,True,True,True,1389,yes,0.99999999902638,yes,1.0,Compliments can boost a person's confidence.,0.99999999902638,0.9999999961055202,0.99999999756595,Compliments can boost a person's confidence.
