statement,Drop,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,statement_id,i_agree,i_agree_probability,others_agree,others_agree_probability,statement_r,awareness,consensus,commonsensicality,nlp_score
Fish rots from the head down.,,5a73d90137,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,763,yes,0.5000000539594854,no,0.9953904313920879,Fish rots from the head down.,0.5046096225673975,1.1657341758564144e-14,7.669685016301656e-08,Fish rots from the head down.
Bread always falls butter side down.,,8e9ee32403,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,437,no,0.9998911031792127,no,0.9465966420524139,Bread always falls butter side down.,0.9467055388732012,0.9995644601509212,0.9727760332603175,Bread always falls butter side down.
Strawberries are sweet.,,a2d4bb8de9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1083,yes,0.9996646501663718,yes,0.9999974387181999,Water is wet.,0.9996672114481719,0.9986590505035311,0.9991630038208701,Water is wet.
Birds fly south for the winter.,,678938f433,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1717,yes,0.9999921107451646,yes,0.9999910603125767,Birds fly south for the winter.,0.9999989495674121,0.9999684432296198,0.9999836962821844,Birds fly south for the winter.
Bananas are high in potassium.,,ae5720c55f,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1992,yes,0.9999974387187338,yes,0.9999993524053493,Bananas are high in potassium.,0.9999980863133845,0.9999897549011759,0.9999939205986036,Bananas are high in potassium.
Mountains are larger than hills.,,57f339dc78,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1923,yes,0.9999994956527968,yes,0.9999999397642596,Mountains are larger than hills.,0.9999995558885372,0.9999979826122046,0.9999987692500615,Mountains are larger than hills.
Plants grow towards light.,,ead395578c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1507,yes,0.9999998144610254,yes,0.9999995549155417,Plants grow towards light.,0.9999997404545163,0.9999992578442392,0.9999994991493486,Plants grow towards light.
The heart pumps blood through the body.,,e8d72cc870,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1600,yes,0.9999998555019707,yes,0.9999999778405079,The heart pumps blood through the body.,0.9999998776614628,0.9999994220079662,0.9999996498346886,The heart pumps blood through the body.
Recycling conserves resources.,,38d1423026,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1953,yes,0.9999999226557766,yes,0.9999999956365372,Recycling conserves resources.,0.9999999270192395,0.9999996906231305,0.999999809,Recycling conserves resources.
Forests are dense with trees.,,bf042028aa,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1926,yes,0.9999999586006211,yes,0.9999998874648147,Forests are dense with trees.,0.9999999288641936,0.9999998344024912,0.9999998816333413,Forests are dense with trees.
Plastic pollution is a global concern.,,52c587c1ff,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1921,yes,0.999999975,yes,0.9999999865595893,Plastic pollution is a global concern.,0.9999999883304157,0.9999998995600227,0.9999999439452182,Plastic pollution is a global concern.
Hot things can burn you.,,af85de0f16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1910,yes,0.9999999895325971,yes,0.9999999981810381,Tampering with fire can cause burns.,0.9999999913515589,0.9999999581303887,0.9999999747409737,Tampering with fire can cause burns.
Hot weather can cause dehydration.,,61499dd388,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1899,yes,0.9999999936511994,yes,0.9999999966017321,Hot weather can cause dehydration.,0.9999999970494673,0.9999999746047977,0.9999999858271325,Hot weather can cause dehydration.
Electricity can be dangerous.,,104d8fc5e5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1034,yes,0.9999999966017319,yes,0.9999999979388463,Fire is hot.,0.9999999986628856,0.9999999864069276,0.9999999925349066,Fire is hot.
Humans need water to survive.,,6477bc9ff1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1872,yes,1,yes,0.9999999961492576,Humans need water to survive.,0.9999999961492576,1,0.9999999980746288,Humans need water to survive.
The world is your oyster.,,0ee4ec3389,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,121,no,0.5000000897145951,no,0.6224592757756828,Old is gold.,0.8775408139389123,3.219646771412954e-14,1.680884126994337e-07,Old is gold.
A problem shared is a problem halved.,,41dec8af1e,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1003,no,0.754915376,no,0.9626730990866439,Apple of one's eye.,0.7922422772196461,0.2599273963095098,0.45379011928866353,Apple of one's eye.
Love is blind.,,522a2af686,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,151,yes,0.9324533209646995,yes,0.9995121432577071,Love is blind.,0.9329411777069924,0.7480634992535895,0.8354036401604062,Love is blind.
Promise is a debt.,,e203bfd899,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,510,yes,0.9840936215866843,yes,0.9525741377470476,Promise is a debt.,0.9684805161603632,0.9373865378436478,0.9528066949872843,Promise is a debt.
Content is king.,,bc81e694a1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,870,yes,0.9991959144996797,yes,0.9820137895242311,Content is king;,0.9828178750245514,0.9967862442126861,0.9897774186102731,Content is king;
"Less talk, more action.",,d5ef7d80aa,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,825,yes,0.999620016,yes,0.9999910603120884,"Less talk, more action.",0.9996289554001196,0.9984806404010681,0.9990546329162195,"Less talk, more action."
Foresight prevents mistakes.,,ca18e407d5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1675,yes,0.9999038976641453,yes,0.9999921107459088,Foresight prevents mistakes.,0.9999117869182366,0.9996156275992172,0.9997636962923427,Foresight prevents mistakes.
There is no honor among thieves.,,81f2806c39,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,310,yes,0.999968798,yes,0.9999991684719906,There is no honor among thieves.,0.9999696296379025,0.999875196,0.9999224118710606,There is no honor among thieves.
Respect for elders is a common value.,,5f9660a9c3,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1058,yes,0.9999898700128248,yes,0.999988521,Respect for elders is a common value.,0.9999986512123282,0.9999594804617657,0.9999790656452495,Respect for elders is a common value.
Dreams are worth chasing.,,e31879bcdb,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,476,yes,0.9999967112526978,yes,0.9999910603127814,Dreams are worth chasing.,0.9999943490600836,0.9999868450540548,0.9999905970500303,Dreams are worth chasing.
What goes around comes around,,d42e5be4cf,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,666,yes,0.9999987901352424,yes,0.9999994956528014,What goes around comes around,0.999999294,0.9999951605468247,0.9999972275124966,What goes around comes around
Discrimination is unjust.,,6cb2655725,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1019,yes,0.9999994956531983,yes,0.9999998724809407,Discrimination is unjust.,0.9999996231722577,0.9999979826138108,0.9999988028926978,Discrimination is unjust.
Kind words have the power to build bridges.,,898b3cdd4a,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,292,yes,0.9999998144610487,yes,0.9999999748900065,Kind words have the power to build bridges.,0.9999998395710422,0.9999992578443324,0.999999549,Kind words have the power to build bridges.
Trust is hard-earned.,,3044be34c2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1694,yes,0.9999999586006177,yes,0.999999872,Trust is hard-earned.,0.9999999138804363,0.9999998344024779,0.9999998741414563,Trust is hard-earned.
Art can be a form of self-expression.,,0aae6c5c44,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2063,yes,0.9999999999999999,yes,1,Art can be a form of self-expression.,0.9999999999999999,0.9999999999999996,0.9999999999999997,Art can be a form of self-expression.
Shaking hands is a common greeting.,,ae0101e899,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1548,yes,0.6791642995610064,yes,0.679178716,She has a sharp tongue.,0.9999855834315614,0.12839938494874426,0.3583260161783173,She has a sharp tongue.
Santa Claus brings presents to children on Christmas.,,020cc6760b,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,570,no,0.9940889334335943,yes,0.9740426425910946,Santa Claus brings presents to children on Christmas.,0.9799537091575004,0.9764954965661871,0.9782230746796101,Santa Claus brings presents to children on Christmas.
Classical music helps with concentration.,,b8c9bf7b73,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1458,yes,0.9989677699526175,yes,0.9991959147238861,Classical music helps with concentration.,0.9997718552287314,0.9958753418059528,0.9978216965239253,Classical music helps with concentration.
People celebrate birthdays.,,0dd622fdf0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1468,yes,0.9999974387205772,yes,0.9999991684720672,Stand in line to buy tickets.,0.9999982702485101,0.9999897549085495,0.9999940125694659,Stand in line to buy tickets.
It's common to send holiday cards around December.,,7bc612bf4e,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1327,yes,0.9999996940979003,yes,0.9999994285002072,It's common to send holiday cards around December.,0.9999997344023068,0.9999987763919757,0.9999992553970265,It's common to send holiday cards around December.
Regular savings lead to financial stability.,,e9d5227e4a,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1060,yes,0.9999997300423825,yes,0.9999999397642535,Regular savings lead to financial stability.,0.99999979,0.9999989201698216,0.9999993552238807,Regular savings lead to financial stability.
Graduating college increases job prospects.,,6c06ff93f7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1094,yes,0.9999999397643733,yes,0.9999994285002138,Graduating college increases job prospects.,0.9999994887358405,0.9999997590575077,0.999999624,Graduating college increases job prospects.
Crying helps to release emotions.,,5369464357,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1602,yes,0.9999998724810518,yes,0.9999997300424005,Crying helps to release emotions.,0.9999998575613487,0.9999994899242723,0.9999996737427936,Crying helps to release emotions.
Governments create laws.,,e1c50fde19,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1907,yes,0.9999998724810535,yes,0.9999999397642565,Governments create laws.,0.999999933,0.99999949,0.9999997113205135,Governments create laws.
Students study for exams.,,a8b0b3ad3e,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1500,yes,0.9999999006880436,yes,0.9999999317439627,Students study for exams.,0.9999999689440808,0.9999996027522137,0.9999997858481304,Students study for exams.
Tea is enjoyed by many people.,,a009d3ecc1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1040,yes,0.9999999586006172,yes,0.9999998874648198,Tea is enjoyed by many people.,0.9999999288642026,0.9999998344024756,0.999999882,Tea is enjoyed by many people.
Cheating is frowned upon.,,95bba552d4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1481,yes,0.9999999827421698,yes,0.9999998724810557,Cheating is frowned upon.,0.9999998897388859,0.9999999309686806,0.99999991,Cheating is frowned upon.
Wait for your turn when in a queue.,,ee5fe79630,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1585,yes,0.9999999865595891,yes,0.9999999715466503,Wait for your turn in a queue.,0.9999999849870612,0.9999999462383572,0.999999966,Wait for your turn in a queue.
Being organized helps efficiency.,,794dbf328c,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1674,yes,0.9999999981810382,yes,0.99999994,Being organized helps efficiency.,0.9999999415832158,0.999999993,0.9999999671536841,Being organized helps efficiency.
Religious beliefs vary among cultures.,,cc07e2debf,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1903,yes,0.9999999950555493,yes,0.9999999973534262,Religious beliefs vary among cultures.,0.9999999977021231,0.9999999802221972,0.999999989,Religious beliefs vary among cultures.
The more the merrier.,,20aef632f3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,160,yes,0.5312093950101435,yes,0.9914225255425153,The more the merrier.,0.5397868694676282,0.003896105,0.045859203,The more the merrier.
Relationships are about compatibility and intricate aims.,,3cf4961c94,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,786,no,0.9399133213859278,no,0.9968273181483407,Relationships are about compatibility and intricate aims.,0.9430860032375871,0.7740949213311943,0.8544226620851945,Relationships are about compatibility and intricate aims.
Trust your instincts.,,366c7968ad,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,397,yes,0.9953904330140138,yes,0.9999832985823803,Trust your instincts.,0.9954071344316334,0.9816467244872482,0.9885029858559108,Trust your instincts.
Reading makes you smarter.,,a34bad73fb,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1726,yes,0.9997388098500438,yes,0.9999990577553588,Reading makes you smarter.,0.999739752,0.998955512,0.9993475552588194,Reading makes you smarter.
Prioritizing family is essential.,,43e65261ce,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1693,yes,0.9999687981029088,yes,0.9999997300424086,Prioritizing family is essential.,0.9999690680605002,0.9998751963058689,0.9999221310816104,Prioritizing family is essential.
Social media has a negative impact on mental health.,,6725e2f2cb,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1447,yes,0.9999945777888026,yes,0.999998932,I think social media has a negative impact on mental health.,0.9999956454907686,0.999978311,0.9999869783442304,I think social media has a negative impact on mental health.
The truth hurts.,,2d7f397b78,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,819,yes,0.9999980052722921,yes,0.9999996533675994,The truth hurts.,0.9999983519046927,0.9999920211050841,0.9999951864998785,The truth hurts.
Voting is a civic duty.,,aed59d4d01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1954,yes,0.9999990577563457,yes,0.9999992661798854,Voting is a civic duty.,0.9999997915764602,0.999996231,0.9999980113011124,Voting is a civic duty.
Kindness matters deeply.,,e5b13b192d,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,99,yes,0.999999496,yes,0.999999947,Kindness matters deeply.,0.999999549,0.9999979826122575,0.9999987657111556,Kindness matters deeply.
People often nostalgic about their childhood.,,1c46c998c9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1348,yes,0.9999998362624367,yes,0.9999999123575097,People often nostalgic about their childhood.,0.999999924,0.9999993450498541,0.9999996344773486,People often nostalgic about their childhood.
Music can improve mood.,,9a5955dd29,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1811,yes,0.9999999226557789,yes,0.9999999865595889,I feel that music can improve mood.,0.999999936,0.9999996906231394,0.9999998133596572,I feel that music can improve mood.
Dogs are loyal pets.,,af1b9b95c1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1838,yes,0.9999999397642624,yes,0.9999999468421448,Dogs are loyal pets.,0.9999999929221176,0.9999997590570641,0.999999876,Dogs are loyal pets.
Showing gratitude is good manners.,,32e16a3505,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1032,yes,0.9999999677581309,yes,0.9999999530883554,Showing gratitude is good manners.,0.9999999853302245,0.9999998710325279,0.9999999281813745,Showing gratitude is good manners.
Cheating is dishonest.,,2e936f468c,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1633,yes,0.9999999907625498,yes,0.9999999804443175,Cheating is dishonest.,0.9999999896817677,0.9999999630501993,0.9999999763659834,Cheating is dishonest.
Children learn by example.,,bc21e26993,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1742,yes,0.9999999973534263,yes,0.9999999956365377,Children learn by example.,0.9999999982831115,0.999999989,0.9999999938484082,Children learn by example.
Hunger is the best sauce.,,c86887aa7d,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1089,yes,0.8175745461022089,no,0.6513546501399579,Hunger is the best sauce.,0.8337801040377489,0.40341436932809605,0.5799645461825256,Hunger is the best sauce.
Kindness costs nothing.,,b4d4b21a6b,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,119,yes,0.9953904364559314,yes,0.9991959168845445,Friends should loyalty.,0.9961945195713869,0.9816467381279927,0.9888938773590596,Friends should loyalty.
Courtesy costs nothing but buys everything.,,5c49c1bff3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,771,yes,0.9995121432632117,yes,0.9990889497854152,Courtesy costs nothing but buys everything.,0.9995768065222035,0.9980495250696293,0.9988128738758336,Courtesy costs nothing but buys everything.
A positive attitude attracts positive outcomes.,,90b585d92e,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,376,yes,0.9999832985942496,yes,0.9999970976909643,A positive attitude attracts positive outcomes.,0.9999862009032853,0.9999331954927463,0.9999596978468049,A positive attitude attracts positive outcomes.
A poor workman blames his tools.,,a8abb892ee,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,899,yes,0.9999945777836834,yes,0.9999977396773716,A poor workman blames his tools.,0.9999968381063118,0.9999783112523353,0.9999875746364174,A poor workman blames his tools.
Beggars can't be choosers.,,59ad9d58bb,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,158,yes,0.9999974387188323,yes,0.9999997617632492,Beggars can't be choosers.,0.9999976769555831,0.9999897549015698,0.9999937159207315,Beggars can't be choosers.
A poor workman blames his tools.,,11dea8c874,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,872,no,0.9999997300421544,no,0.9999996072140077,Kapital kidded kiddo kin wollen'd kidding เลวีน,0.9999998771718533,0.99999892,0.9999993986702668,Kapital kidded kiddo kin wollen'd kidding เลวีน
Helping others is a noble act.,,887de56a5b,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1706,yes,0.9999999006880538,yes,0.999999856,Helping others is a noble act.,0.9999999548140572,0.9999996027522545,0.9999997787831404,Helping others is a noble act.
Perseverance pays off.,,5bbebcd217,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,739,yes,0.9999999226557718,yes,0.9999999847700201,Perseverance pays off.,0.9999999378857517,0.999999691,0.9999998142544237,Perseverance pays off.
Kindness begets kindness.,,4b8f1f1f78,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1123,yes,0.9999999748900071,yes,0.9999999006880489,Kindness begets kindness.,0.9999999257980418,0.9999998995600311,0.9999999126790363,Kindness begets kindness.
Friendship enriches life.,,2a4adb7e6a,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1746,yes,0.9999999677581274,yes,0.9999999928058667,Friendship enriches life.,0.9999999749522607,0.9999998710325136,0.9999999229923858,Friendship enriches life.
Actions should match words.,,b1b31e53be,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1590,yes,0.9999999748900066,yes,0.9999999586006207,Actions should match words.,0.9999999837106142,0.9999998995600289,0.9999999416353207,Actions should match words.
Pets often bring joy to their owners.,,5b3406147e,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1908,yes,0.9999999936511992,yes,0.999999912,Pets often bring joy to their owners.,0.9999999187064598,0.9999999746047968,0.999999947,Pets often bring joy to their owners.
A smile often indicates friendliness.,,028c784ae0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1889,yes,0.9999999865595878,yes,0.9999999634651725,A smile often indicates friendliness.,0.9999999769055847,0.9999999462383519,0.9999999615719681,A smile often indicates friendliness.
Compliments can boost a person's confidence.,,40288472cd,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1389,yes,0.999999999,yes,1,Compliments can boost a person's confidence.,0.999999999,0.9999999961055202,0.999999998,Compliments can boost a person's confidence.