id	statement	statementSource	origLanguage	published	statementMedian	createdAt	updatedAt	statementCategory	parentId
8860	Fish rots from the head down.	GPT	En	1	0	2024-10-01 21:55:49	2024-10-01 21:55:49	General reference	
8861	Bread always falls butter side down.	GPT	En	1	1	2024-10-01 22:00:19	2024-10-01 22:00:19	General reference	
8862	Strawberries are sweet.	GPT	En	1	1	2024-10-01 22:00:19	2024-10-01 22:00:19	General reference	
8863	Birds fly south for the winter.	GPT	En	1	1	2024-10-01 22:00:19	2024-10-01 22:00:19	General reference	
8864	Bananas are high in potassium.	GPT	En	1	1	2024-10-01 22:00:20	2024-10-01 22:00:20	General reference	
8865	Mountains are larger than hills.	GPT	En	1	1	2024-10-01 22:00:20	2024-10-01 22:00:20	General reference	
8866	Plants grow towards light.	GPT	En	1	1	2024-10-01 22:00:20	2024-10-01 22:00:20	General reference	
8867	The heart pumps blood through the body.	GPT	En	1	1	2024-10-01 22:00:20	2024-10-01 22:00:20	General reference	
8868	Recycling conserves resources.	GPT	En	1	1	2024-10-01 22:00:21	2024-10-01 22:00:21	General reference	
8869	Forests are dense with trees.	GPT	En	1	1	2024-10-01 22:00:21	2024-10-01 22:00:21	General reference	
8870	Plastic pollution is a global concern.	GPT	En	1	1	2024-10-01 22:00:21	2024-10-01 22:00:21	General reference	
8871	Hot things can burn you.	GPT	En	1	1	2024-10-01 22:00:22	2024-10-01 22:00:22	General reference	
8872	Hot weather can cause dehydration.	GPT	En	1	1	2024-10-01 22:00:22	2024-10-01 22:00:22	General reference	
8873	Electricity can be dangerous.	GPT	En	1	1	2024-10-01 22:00:22	2024-10-01 22:00:22	General reference	
8874	Humans need water to survive.	GPT	En	1	1	2024-10-01 22:00:22	2024-10-01 22:00:22	General reference	
8875	The world is your oyster.	GPT	En	1	0	2024-10-01 22:00:23	2024-10-01 22:00:23	General reference	
8876	A problem shared is a problem halved.	GPT	En	1	0	2024-10-01 22:00:23	2024-10-01 22:00:23	General reference	
8877	Love is blind.	GPT	En	1	1	2024-10-01 22:00:23	2024-10-01 22:00:23	General reference	
8878	Promise is a debt.	GPT	En	1	1	2024-10-01 22:00:24	2024-10-01 22:00:24	General reference	
8879	Content is king.	GPT	En	1	1	2024-10-01 22:00:24	2024-10-01 22:00:24	General reference	
8880	Less talk, more action.	GPT	En	1	1	2024-10-01 22:00:24	2024-10-01 22:00:24	General reference	
8881	Foresight prevents mistakes.	GPT	En	1	1	2024-10-01 22:00:24	2024-10-01 22:00:24	General reference	
8882	There is no honor among thieves.	GPT	En	1	1	2024-10-01 22:00:24	2024-10-01 22:00:24	General reference	
8883	Respect for elders is a common value.	GPT	En	1	1	2024-10-01 22:00:25	2024-10-01 22:00:25	General reference	
8884	Dreams are worth chasing.	GPT	En	1	1	2024-10-01 22:00:25	2024-10-01 22:00:25	General reference	
8885	What goes around comes around	GPT	En	1	1	2024-10-01 22:00:25	2024-10-01 22:00:25	General reference	
8886	Discrimination is unjust.	GPT	En	1	1	2024-10-01 22:00:25	2024-10-01 22:00:25	General reference	
8887	Kind words have the power to build bridges.	GPT	En	1	1	2024-10-01 22:00:26	2024-10-01 22:00:26	General reference	
8888	Trust is hard-earned.	GPT	En	1	1	2024-10-01 22:00:26	2024-10-01 22:00:26	General reference	
8889	Art can be a form of self-expression.	GPT	En	1	1	2024-10-01 22:00:26	2024-10-01 22:00:26	General reference	
8890	Shaking hands is a common greeting.	GPT	En	1	0	2024-10-01 22:00:27	2024-10-01 22:00:27	General reference	
8891	Santa Claus brings presents to children on Christmas.	GPT	En	1	1	2024-10-01 22:00:27	2024-10-01 22:00:27	General reference	
8892	Classical music helps with concentration.	GPT	En	1	1	2024-10-01 22:00:27	2024-10-01 22:00:27	General reference	
8893	People celebrate birthdays.	GPT	En	1	1	2024-10-01 22:00:27	2024-10-01 22:00:27	General reference	
8894	"It's common to send holiday cards around December."	GPT	En	1	1	2024-10-01 22:00:28	2024-10-01 22:00:28	General reference	
8895	Regular savings lead to financial stability.	GPT	En	1	1	2024-10-01 22:00:28	2024-10-01 22:00:28	General reference	
8896	Graduating college increases job prospects.	GPT	En	1	1	2024-10-01 22:00:28	2024-10-01 22:00:28	General reference	
8897	Crying helps to release emotions.	GPT	En	1	1	2024-10-01 22:00:28	2024-10-01 22:00:28	General reference	
8898	Governments create laws.	GPT	En	1	1	2024-10-01 22:00:29	2024-10-01 22:00:29	General reference	
8899	Students study for exams.	GPT	En	1	1	2024-10-01 22:00:29	2024-10-01 22:00:29	General reference	
8900	Tea is enjoyed by many people.	GPT	En	1	1	2024-10-01 22:00:29	2024-10-01 22:00:29	General reference	
8901	Cheating is frowned upon.	GPT	En	1	1	2024-10-01 22:00:29	2024-10-01 22:00:29	General reference	
8902	Wait for your turn when in a queue.	GPT	En	1	1	2024-10-01 22:00:30	2024-10-01 22:00:30	General reference	
8903	Being organized helps efficiency.	GPT	En	1	1	2024-10-01 22:00:30	2024-10-01 22:00:30	General reference	
8904	Religious beliefs vary among cultures.	GPT	En	1	1	2024-10-01 22:00:30	2024-10-01 22:00:30	General reference	
8905	The more the merrier.	GPT	En	1	0	2024-10-01 22:00:30	2024-10-01 22:00:30	General reference	
8906	Relationships are about compatibility and intricate aims.	GPT	En	1	1	2024-10-01 22:00:31	2024-10-01 22:00:31	General reference	
8907	Trust your instincts.	GPT	En	1	1	2024-10-01 22:00:31	2024-10-01 22:00:31	General reference	
8908	Reading makes you smarter.	GPT	En	1	1	2024-10-01 22:00:31	2024-10-01 22:00:31	General reference	
8909	Prioritizing family is essential.	GPT	En	1	1	2024-10-01 22:00:31	2024-10-01 22:00:31	General reference	
8910	Social media has a negative impact on mental health.	GPT	En	1	1	2024-10-01 22:00:32	2024-10-01 22:00:32	General reference	
8911	The truth hurts.	GPT	En	1	1	2024-10-01 22:00:32	2024-10-01 22:00:32	General reference	
8912	Voting is a civic duty.	GPT	En	1	1	2024-10-01 22:00:32	2024-10-01 22:00:32	General reference	
8913	Kindness matters deeply.	GPT	En	1	1	2024-10-01 22:00:32	2024-10-01 22:00:32	General reference	
8914	People often nostalgic about their childhood.	GPT	En	1	1	2024-10-01 22:00:33	2024-10-01 22:00:33	General reference	
8915	Music can improve mood.	GPT	En	1	1	2024-10-01 22:00:33	2024-10-01 22:00:33	General reference	
8916	Dogs are loyal pets.	GPT	En	1	1	2024-10-01 22:00:33	2024-10-01 22:00:33	General reference	
8917	Showing gratitude is good manners.	GPT	En	1	1	2024-10-01 22:00:33	2024-10-01 22:00:33	General reference	
8918	Cheating is dishonest.	GPT	En	1	1	2024-10-01 22:00:34	2024-10-01 22:00:34	General reference	
8919	Children learn by example.	GPT	En	1	1	2024-10-01 22:00:34	2024-10-01 22:00:34	General reference	
8920	Hunger is the best sauce.	GPT	En	1	1	2024-10-01 22:00:34	2024-10-01 22:00:34	General reference	
8921	Kindness costs nothing.	GPT	En	1	1	2024-10-01 22:00:34	2024-10-01 22:00:34	General reference	
8922	Courtesy costs nothing but buys everything.	GPT	En	1	1	2024-10-01 22:00:35	2024-10-01 22:00:35	General reference	
8923	A positive attitude attracts positive outcomes.	GPT	En	1	1	2024-10-01 22:00:35	2024-10-01 22:00:35	General reference	
8924	A poor workman blames his tools.	GPT	En	1	1	2024-10-01 22:00:35	2024-10-01 22:00:35	General reference	
8925	"Beggars can't be choosers."	GPT	En	1	1	2024-10-01 22:00:35	2024-10-01 22:00:35	General reference	
8926	A poor workman blames his tools.	GPT	En	1	1	2024-10-01 22:00:35	2024-10-01 22:00:35	General reference	
8927	Helping others is a noble act.	GPT	En	1	1	2024-10-01 22:00:36	2024-10-01 22:00:36	General reference	
8928	Perseverance pays off.	GPT	En	1	1	2024-10-01 22:00:36	2024-10-01 22:00:36	General reference	
8929	Kindness begets kindness.	GPT	En	1	1	2024-10-01 22:00:36	2024-10-01 22:00:36	General reference	
8930	Friendship enriches life.	GPT	En	1	1	2024-10-01 22:00:37	2024-10-01 22:00:37	General reference	
8931	Actions should match words.	GPT	En	1	1	2024-10-01 22:00:37	2024-10-01 22:00:37	General reference	
8932	Pets often bring joy to their owners.	GPT	En	1	1	2024-10-01 22:00:37	2024-10-01 22:00:37	General reference	
8933	A smile often indicates friendliness.	GPT	En	1	1	2024-10-01 22:00:38	2024-10-01 22:00:38	General reference	
8934	"Compliments can boost a person's confidence."	GPT	En	1	1	2024-10-01 22:00:38	2024-10-01 22:00:38	General reference	
8935	Time heals all wounds.	GPT	En	1	1	2024-10-03 00:12:14	2024-10-03 00:12:14	General reference	
8936	A rising tide lifts all boats.	GPT	En	1	1	2024-10-03 00:12:15	2024-10-03 00:12:15	General reference	
8937	Societal progress relies on equitable distribution of resources.	GPT	En	1	1	2024-10-03 00:12:15	2024-10-03 00:12:15	General reference	
8938	Every rose has its thorn.	GPT	En	1	1	2024-10-03 00:12:15	2024-10-03 00:12:15	General reference	
8939	Mathematics reveals universal truths.	GPT	En	1	1	2024-10-03 00:12:15	2024-10-03 00:12:15	General reference	
8940	Digital transformation reshapes industries.	GPT	En	1	1	2024-10-03 00:12:16	2024-10-03 00:12:16	General reference	
8941	Bridges connect communities and ideas.	GPT	En	1	1	2024-10-03 00:12:16	2024-10-03 00:12:16	General reference	
8942	The pen is mightier than the sword.	GPT	En	1	1	2024-10-03 00:12:16	2024-10-03 00:12:16	General reference	
8943	The squeaky wheel gets the grease.	GPT	En	1	1	2024-10-03 00:12:16	2024-10-03 00:12:16	General reference	
8944	Precision in language ensures clarity.	GPT	En	1	1	2024-10-03 00:12:17	2024-10-03 00:12:17	General reference	
8945	Artificial intelligence transforms industries.	GPT	En	1	1	2024-10-03 00:12:17	2024-10-03 00:12:17	General reference	
8946	Metaphors create vivid imagery in language.	GPT	En	1	1	2024-10-03 00:12:17	2024-10-03 00:12:17	General reference	
8947	Architecture shapes our built environment.	GPT	En	1	1	2024-10-03 00:12:17	2024-10-03 00:12:17	General reference	
8948	Berlin Wall falling symbolized new freedoms.	GPT	En	1	1	2024-10-03 00:12:18	2024-10-03 00:12:18	General reference	
8949	Sculpture can memorialize history.	GPT	En	1	1	2024-10-03 00:12:18	2024-10-03 00:12:18	General reference	
8950	Figurative art represents human forms.	GPT	En	1	0	2024-10-03 00:12:18	2024-10-03 00:12:18	General reference	
8951	Blockchain ensures secure transactions.	GPT	En	1	1	2024-10-03 00:12:19	2024-10-03 00:12:19	General reference	
8952	Efficient algorithms optimize performance.	GPT	En	1	1	2024-10-03 00:12:19	2024-10-03 00:12:19	General reference	
8953	Stars fill the night sky.	GPT	En	1	1	2024-10-03 00:12:19	2024-10-03 00:12:19	General reference	
8954	Grammar rules structure languages.	GPT	En	1	1	2024-10-03 00:12:19	2024-10-03 00:12:19	General reference	
8955	Artificial intelligence personalizes user experiences.	GPT	En	1	1	2024-10-03 00:12:20	2024-10-03 00:12:20	General reference	
8956	Many faiths include anointing rituals.	GPT	En	1	1	2024-10-03 00:12:20	2024-10-03 00:12:20	General reference	
8957	Nikola Tesla contributed significantly to electricity and magnetism.	GPT	En	1	1	2024-10-03 00:12:20	2024-10-03 00:12:20	General reference	
8958	Michelangelo painted the Sistine Chapel ceiling.	GPT	En	1	1	2024-10-03 00:12:20	2024-10-03 00:12:20	General reference	
8959	Soft lighting creates a calming ambiance.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8960	Technology drives modern communication.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8961	Social dancing combines exercise and socialization.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8962	Regular check-ups are important.	GPT	En	1	1	2024-10-03 00:12:21	2024-10-03 00:12:21	General reference	
8963	Electricity powers modern technology.	GPT	En	1	1	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8964	Dictionaries are useful for word meanings.	GPT	En	1	1	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8965	The mountains stood as silent guardians.	GPT	En	1	0	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8966	A watched pot never boils.	GPT	En	1	1	2024-10-03 00:12:22	2024-10-03 00:12:22	General reference	
8967	Fresh sheets promise restful sleep.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8968	Journaling clears the mind.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8969	Painting captures moments in time.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8970	Clean space, clear mind.	GPT	En	1	1	2024-10-03 00:12:23	2024-10-03 00:12:23	General reference	
8971	Stop and smell the roses.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8972	Scenic drives relax the mind.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8973	Spending time outdoors lifts the spirits.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8974	Tidy spaces enhance focus.	GPT	En	1	1	2024-10-03 00:12:24	2024-10-03 00:12:24	General reference	
8975	Digital innovations transform businesses.	GPT	En	1	1	2024-10-03 00:12:25	2024-10-03 00:12:25	General reference	
8976	Photographers capture visual stories.	GPT	En	1	1	2024-10-03 00:12:25	2024-10-03 00:12:25	General reference	
8977	Leonardo da Vinci painted the Mona Lisa.	GPT	En	1	1	2024-10-03 00:12:25	2024-10-03 00:12:25	General reference	
8978	Fair weather friends are unreliable.	GPT	En	1	1	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8979	Well-known landmarks foster tourism.	GPT	En	1	1	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8980	Curiosity killed the cat.	GPT	En	1	0	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8981	Understanding precedes ethical action.	GPT	En	1	1	2024-10-03 00:12:26	2024-10-03 00:12:26	General reference	
8982	Manners maketh man.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8983	Finders keepers, losers weepers.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8984	Fortune favors the bold.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8985	No pain, no gain.	GPT	En	1	1	2024-10-03 00:12:27	2024-10-03 00:12:27	General reference	
8986	Absence makes the heart grow fonder.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8987	Analysis of facts informs strategy.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8988	Knowledge dispels ignorance.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8989	Validation enhances self-worth.	GPT	En	1	1	2024-10-03 00:12:28	2024-10-03 00:12:28	General reference	
8990	Grasping at straws means making a desperate attempt.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8991	Good manners open doors.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8992	Uplifting others builds morale.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8993	Educated guesses help make predictions.	GPT	En	1	1	2024-10-03 00:12:29	2024-10-03 00:12:29	General reference	
8994	Leading by example fosters trust.	GPT	En	1	1	2024-10-03 00:12:30	2024-10-03 00:12:30	General reference	